Treatment	Egg_MassID	 Set 	TadpoleID	Rep 	SVL	ACT_Total_Dist	EXP_Total_Dist
Low	809	1	101	1	6.01	7398.62	1436.03
Low	809	1	101	2	7.06	1969.19	4569.85
Low	809	1	101	3	7.27	3821.08	7726.25
Low	809	1	101	4	6.84	3978.52	7819.63
Low	809	1	101	5	7.6	7341.24	10532.15
Low	809	1	101	6	7.37	14081.19	7735.25
Low	809	1	101	7	6.9	3331.33	5426.4
Low	809	1	101	8	6.1	11208.43	2530.53
High	814	1	102	1	4	4769.83	6464.08
High	814	1	102	2	5.94	6337.34	3085.49
High	814	1	102	3	5.26	1937.57	2053.32
High	814	1	102	4	5.24	2259.47	7964.16
High	814	1	102	5	6.56	2692.46	6758.21
High	814	1	102	6	6.66	2854.25	8034.43
High	814	1	102	7	6.21	4347.17	5422.05
High	814	1	102	8	6.46	2083.61	12745.97
Low	809	2	104	1	6.8	4591.86	2105.44
Low	809	2	104	2	6.59	1654.04	1078.96
Low	809	2	104	3	6.97	5667.56	1928.86
Low	809	2	104	4	6.26	932.58	2176.52
Low	809	2	104	5	6.67	447.43	4250.57
Low	809	2	104	6	8.43	876.15	3925.93
Low	809	2	104	7	8.42	1195.57	3185.12
Low	809	2	104	8	9.08	8538.72	2887.77
High	809	2	105	1	7.18	1080.34	6676.69
High	809	2	105	2	7.98	12616.9	7421.44
High	809	2	105	3	7.49	2870.68	5804.27
High	809	2	105	4	7.39	305.99	6723.32
High	809	2	105	5	7.38	331.77	372.04
High	809	2	105	6	6.49	6896.96	139.42
High	809	2	105	7	6.54	3739.42	0
High	809	2	105	8	7.57	5697.29	906.45
Low	809	2	106	1	9.82	11599.29	5244.13
Low	809	2	106	2	10.3	1714.74	11631.09
Low	809	2	106	3	9.47	1275.62	13432.65
Low	809	2	106	4	10.42	8857.52	11615.32
Low	809	2	106	5	9.99	6688.18	13063.53
Low	809	2	106	6	10.74	3270.74	15527.12
Low	809	2	106	7	12.64	9780.95	14716.21
Low	809	2	106	8	10.78	5599.17	15667.46
Low	809	1	107	1	7.44	5754.9	11904.89
Low	809	1	107	2	6.36	10103.37	2744.69
Low	809	1	107	3	7.57	8312.78	16027.79
Low	809	1	107	4	8.66	3062.62	16824.53
Low	809	1	107	5	8.41	6549.81	21999.95
Low	809	1	107	6	7.66	3192.24	20719.34
Low	809	1	107	7	9.04	19097.15	22195.6
Low	809	1	107	8	8.45	5264.61	16740.92
Low	822	1	108	1	4.81	5537.62	1680.71
Low	769	2	109	1	6.1	9099.78	10157.21
Low	769	2	109	2	6.31	7239.17	5148.51
Low	769	2	109	3	7.05	8522.76	3700.95
Low	769	2	109	4	6.98	14797.45	8072.64
Low	769	2	109	5	7.66	9792.28	4398.11
Low	769	2	109	6	7.2	13828.3	12549.39
Low	769	2	109	7	8.22	15685.8	13680.74
Low	769	2	109	8	8.43	6189.91	17675.31
High	813	2	111	1	8.39	5363.05	5223.86
High	813	2	111	2	9.45	1679.61	12453.33
High	813	2	111	3	11.54	7224.47	2241.42
High	813	2	111	4	10.57	2091.2	8460.96
High	813	2	111	5	10.93	3782.26	16606.71
High	813	2	111	6	12.08	8504.79	8377.06
High	813	2	111	7	10.32	1537.06	13860.7
High	813	2	111	8	12.07	4642.4	23085.84
High	769	1	113	1	7.74	2638.63	6972.65
High	769	1	113	2	6.37	4459.31	5937.89
High	769	1	113	3	7.89	6612.96	15652.03
High	769	1	113	4	7.54	3531.89	18162.24
High	769	1	113	5	7.49	8685.88	8659.08
High	769	1	113	6	7.38	8410.97	19803.76
High	769	1	113	7	7.94	12538.99	10460.14
High	769	1	113	8	8.81	1980.21	23044.2
High	809	1	114	1	5.95	4206.35	5036.53
High	809	1	114	2	4.26	1268.6	1457.99
High	809	1	114	3	6.1	4531.28	4300.63
High	809	1	114	4	6.98	12959.09	5203.66
High	809	1	114	5	7.03	11319.41	4388.02
High	809	1	114	6	7.89	9860.78	10764.64
High	809	1	114	7	6.81	4032.92	11572.46
High	809	1	114	8	9.17	16030.55	12020.63
High	812	1	116	1	5.3	8805.13	9663.44
High	812	1	116	2	5.72	5464.39	3079.29
High	812	1	116	3	5.44	7369.78	5083.96
High	812	1	116	4	6.42	3440.97	3208.04
High	812	1	116	5	5.32	8566.26	6989.49
High	812	1	116	6	6.08	0	2965.49
High	812	1	116	7	5.18	3515.96	3686.7
High	812	1	116	8	5.04	11155.02	3729.32
High	813	1	117	1	5.089	2788.56	3900.43
High	813	1	117	2	5.18	3465.33	750.13
High	813	1	117	3	5.22	1697.12	2310.74
High	813	1	117	4	4.65	942.48	1939.44
High	813	1	117	5	4.22	3247.83	2020.68
High	813	1	117	6	5.23	1944.45	3251.92
High	813	1	117	7	5.24	2202.62	1440.6
High	813	1	117	8	5.69	5024.87	778.4
High	812	1	118	1	5.11	2072.29	5302.15
High	812	1	118	2	5.27	1934.62	3167.21
High	812	1	118	3	6.85	5318.53	10461.63
High	812	1	118	4	5.34	5961.03	2211.4
High	812	1	118	5	5.03	2919.27	5900.6
High	812	1	118	6	5.67	1483.61	4464.48
High	812	1	118	7	6.52	2249.58	10018.38
High	812	1	118	8	6.33	3124.57	9191.23
Low	809	2	119	1	5.34	7754.86	1870.68
Low	809	2	119	2	5.69	2780.4	3740.21
Low	809	2	119	3	5.74	3317.4	1843.96
Low	809	2	119	4	6.03	6369.03	722.9
Low	809	2	119	5	5.93	1228.48	3817.75
Low	809	2	119	6	6.61	9926.45	7329.69
Low	809	2	119	7	6.39	6388.13	5366.14
Low	809	2	119	8	6.84	7873.06	5280.81
High	812	1	120	1	5.953	5267.97	11149.15
High	812	1	120	2	5.18	7104.74	6971.99
High	812	1	120	3	5.63	3910.44	5231.67
High	812	1	120	4	6.06	2555.43	4620.7
High	812	1	120	5	5.41	1245.83	7137.21
High	812	1	120	6	4.76	2997.49	1732.53
High	812	1	120	7	5.3	1826.35	6237.5
High	812	1	120	8	5.52	2412.55	4112.93
Low	809	2	122	1	5.24	7943.57	3842.89
Low	809	2	122	2	4.33	5116.48	7823.17
Low	809	2	122	3	5.07	7973.24	4038.32
Low	809	2	122	4	5.97	7047.9	8460.93
Low	809	2	122	5	7.22	1765.54	4639.39
Low	809	2	122	6	6.82	6801.15	7990.91
Low	809	2	122	7	6.76	13451.84	1274.15
Low	809	2	122	8	7.23	16413.37	4419.78
High	822	2	123	1	6.48	6026.84	5528.88
High	822	2	123	2	5.11	4181.87	2811.75
High	822	2	123	3	4.48	823.98	2950.95
High	822	2	123	4	5.78	788.28	3483.08
High	822	2	123	5	6.03	723.35	7649.74
High	822	2	123	6	6	427.68	5181.1
High	822	2	123	7	6.55	1613.2	4911.29
High	822	2	123	8	5.91	2377.19	6887.55
High	822	2	124	1	11.85	3304.55	5619.32
High	822	2	124	2	11.9	6076.98	14288.38
High	822	2	124	3	11.69	3355.56	11955.24
High	822	2	124	4	13.04	3355.24	12803.04
High	822	2	124	5	11.74	984.21	12796.69
High	822	2	124	6	11.92	1896.6	10124.44
High	822	2	124	7	11.88	1997.64	9374.5
High	822	2	124	8	13.49	2266.9	8834.4
